cellName,ageCategory,age,sex,distanceToPialSurface.LuebkeOriginal,distanceToPialSurface.CoskrenFromStacks,epspsHz,vrestMv,periodMs,inputResistance,thresholdMv,amplitudeMv,durationMs,riseTimeMs,decayTimeMs,spikeCount30pA,spikeCount80pA,spikeCount130pA,spikeCount180pA,spikeCount230pA,spikeCount280pA,spikeCount330pA
Apr6f-all,OLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug3a-all,OLD,19,M,NA,345.00,3.76,-58.22,7.57,0.124,-32.3,80.1,1.4,0.8,2,0,0,9.5,18.5,24,26.5,27.5
Aug3b-all,OLD,19,M,NA,284.84,10.64,-66,10.7,0.112,-34,75.93,1.85,1,2.6,0,0,8,11.5,12,11.5,10.5
Aug3c-all,OLD,19,M,NA,387.96,13.36,-65,15.02,0.126,-41.01,87.86,1.75,0.9,3.1,0,1,11.5,15.5,16.5,18,19
Aug3e-all,OLD,19,M,649,574.10,2.11,-63.18,11.1,0.085,-40.63,84.45,1.38,0.73,1.8,0,0,0,4,11.5,16,17.5
Aug3f-all,OLD,19,M,635,586.44,0.83,-66.03,13.8,0.114,-38.93,75,1.3,0.7,1.7,0,0,1,12,20,25.5,29.5
Aug3g-all,OLD,19,M,368,334.12,7.28,-62.97,9.3,0.109,-37.6,77.3,2.12,1.08,2.81,0,0.5,8.5,14.5,16,17,18
Dec15d-all,YOUNG,10.7,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dec15e-all,YOUNG,10.7,F,288,300.80,11.9,-65.36,10.1,0.07,-36.08,90.52,2.08,1.7,3,0,0,0,0,3.5,7.5,8.5
Feb27f-all,OLD,25.7,F,424,359.80,9,-63.18,9.7,0.086,-42.82,94.08,1.29,0.76,2.08,0,0,0.5,8.5,13.5,13.5,11.5
Feb27n-all,OLD,25.7,F,378,384.24,3.22,-62.14,21.8,0.118,-44,96.3,1.96,1.67,2.86,0,2.5,10,15,17,17.5,16
Jun7d-all,YOUNG,6.9,M,590,552.36,9.94,-67.53,40.6,0.111,-43.25,89.39,2.1,1.13,3.84,0,0,1,5.5,7.5,8.5,9
May31d-all,YOUNG,6.8,M,390,377.88,19.5,-60.25,19.6,0.098,-36.16,74.77,1.53,0.9,2.8,0,0,0,1.5,2.5,5.5,5
May31e-all,YOUNG,6.8,M,766,729.24,6.06,-60.47,32.4,0.12,-34.39,91.83,1.96,0.9,3.1,0,0,0,0.5,3.5,7.5,10
May3c-all,YOUNG,5.2,M,NA,683.32,7.56,-64.55,14.2,0.09,-40.04,95.95,1.92,0.9,4,0,0,1,5,10,12.5,14.5
May3d-all,YOUNG,5.2,M,NA,556.32,4.64,-67.35,13.8,0.053,-38.11,98.39,2.05,1.04,4.11,0,0,0,0,0,1,3.5
May3g-all,YOUNG,5.2,M,723,911.55,4.92,-53.88,NA,0.07,-38,74.4,1.96,1.6,3.3,0,0,0,0,0,1,5.5
May3h-all,YOUNG,5.2,M,447,435.96,8.03,-65.98,NA,0.08,-40.95,92.76,1.96,1.1,3.18,0,0,0,1,8.5,12.5,15
May3i-all,YOUNG,5.2,M,555,563.30,3.03,-62.19,23.1,0.094,-43.22,99.14,1.83,0.9,4.2,0,0,0.5,1.5,4,4.5,4.5
May3j-all,YOUNG,5.2,M,527,453.76,0.86,-64,9.06,NA,-38.86,99.14,1.74,0.9,4.7,0,0,0,0,0,0.5,1
May3t-all,YOUNG,5.2,M,NA,589.64,6.47,-61.76,16.05,0.1457,-45.54,97.35,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
May3x-all,YOUNG,5.2,M,346,NA,NA,-57,17.1,0.082,-32.89,95.58,1.93,0.9,3.7,0,0,0,1,5,6.5,6
May4_2000-all,OLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
