name,out0Hz,out100Hz,out200Hz,out300Hz,out400Hz,out500Hz,in1Hz,in100Hz,in200Hz,in300Hz,in400Hz,in500Hz
Aug3b-basal,0.026461,0.135125,0.323632,0.492935,0.633801,0.752461,0.398858,1.836660,2.315780,2.568640,2.745080,2.885730
Aug3b-apical,0.095435,0.600514,1.041550,1.365260,1.620780,1.834890,0.607089,2.269300,2.832580,3.185500,3.459820,3.692660
Aug3a-apical,0.100138,0.628624,1.096000,1.443010,1.719340,1.951050,0.620835,2.359200,2.972290,3.350810,3.638520,3.878680
Aug3a-basal,0.040471,0.241336,0.500140,0.702817,0.865004,1.001340,0.634465,2.339360,2.815770,3.080490,3.272080,3.426980
Aug3c-basal,0.030953,0.168120,0.380983,0.563141,0.714496,0.843327,0.465516,1.997170,2.491960,2.771310,2.972000,3.131840
Aug3e-apical,0.334546,1.497510,2.211720,2.740800,3.166690,3.529180,0.984593,3.121600,3.920580,4.435990,4.838080,5.180790
Aug3c-apical,0.260759,1.387350,2.016180,2.449230,2.791770,3.083830,1.100330,3.100570,3.792400,4.249050,4.614460,4.929900
Aug3e-basal,0.034052,0.183913,0.427593,0.636478,0.806257,0.947634,0.609392,2.386750,2.913200,3.194420,3.389990,3.544600
Aug3f-apical,0.273367,1.378290,2.110170,2.669510,3.130040,3.524450,1.087640,3.283720,4.190660,4.809540,5.295070,5.701520
Aug3g-basal,0.023811,0.115605,0.285857,0.444895,0.579641,0.694366,0.439661,1.964060,2.474470,2.743230,2.925850,3.066580
Aug3g-apical,0.124777,0.801846,1.320320,1.696270,1.993420,2.241150,0.563470,2.216260,2.839400,3.234700,3.530370,3.772690
Feb27f-apical,0.226089,1.349220,1.934010,2.318290,2.622140,2.882990,0.564348,2.238770,2.994460,3.517690,3.933560,4.286570
Aug3f-basal,0.026801,0.127270,0.311260,0.485751,0.637675,0.770305,0.547806,2.240450,2.794250,3.099290,3.312320,3.478150
Feb27n-basal,0.030075,0.162219,0.376167,0.558104,0.704799,0.826323,0.565869,2.195500,2.654410,2.888300,3.048310,3.175110
Feb27n-apical,0.138648,0.902366,1.441870,1.810260,2.093150,2.325990,0.748225,2.559550,3.137880,3.493950,3.758450,3.974960
Dec15e-basal,0.045923,0.282163,0.560790,0.768933,0.933579,1.072470,0.852768,2.696740,3.152930,3.422330,3.627710,3.798430
Dec15e-apical,0.195768,1.164040,1.747860,2.146250,2.458580,2.721730,1.145750,3.134620,3.748520,4.170050,4.509570,4.800440
Jun7d-basal,0.097819,0.641420,1.059150,1.348760,1.579600,1.776610,1.017050,2.840770,3.300880,3.611060,3.857310,4.065670
May31d-apical,0.157652,0.945494,1.466080,1.845510,2.155740,2.423650,0.930691,2.800880,3.386390,3.779190,4.098150,4.375660
Jun7d-apical,0.347480,1.752140,2.559510,3.138460,3.605440,4.005340,1.506500,3.627510,4.403710,4.972890,5.440470,5.846440
May31e-basal,0.112682,0.699474,1.105840,1.397580,1.637440,1.845750,1.178040,3.006610,3.508180,3.844400,4.105350,4.322170
May3c-basal,0.058318,0.377065,0.707621,0.941175,1.124260,1.279550,0.726003,2.438750,2.853550,3.098950,3.291520,3.456440
May31e-apical,0.502426,2.220090,3.139330,3.806580,4.353550,4.827230,1.697030,4.096100,5.000350,5.653680,6.193690,6.666220
May3c-apical,0.547759,2.225920,3.117170,3.777930,4.327540,4.807710,1.454100,3.767630,4.646320,5.289290,5.827280,6.300820
May3d-basal,0.049621,0.315287,0.618193,0.841407,1.017790,1.166130,0.663938,2.377320,2.830280,3.077010,3.251300,3.390020
May3g-basal,0.079826,0.529380,0.928476,1.204940,1.420820,1.601840,1.054320,2.998690,3.431860,3.698320,3.906980,4.083830
May3d-apical,0.396564,1.957180,2.834500,3.443120,3.925880,4.333880,1.332160,3.583430,4.379400,4.921350,5.359270,5.738230
May3g-apical,0.518312,2.182450,3.094480,3.761410,4.305960,4.773200,1.650740,4.160990,5.108310,5.790720,6.345810,6.822700
May3h-apical,0.395049,1.789290,2.544730,3.103680,3.566320,3.968560,1.327130,3.482780,4.321230,4.920970,5.413330,5.840790
May3h-basal,0.051378,0.325852,0.629256,0.849952,1.023980,1.171470,0.678172,2.355460,2.831980,3.124500,3.349820,3.537210
May3i-basal,0.039760,0.234632,0.495192,0.703322,0.871703,1.013810,0.522742,2.063710,2.535050,2.799330,2.992310,3.149400
May3i-apical,0.578201,2.298910,3.140320,3.752960,4.253700,4.685640,1.511690,4.096050,4.972070,5.592820,6.106810,6.556460
May3t-basal,0.072224,0.476153,0.843589,1.105880,1.317740,1.499610,0.926444,2.771500,3.214620,3.492910,3.703740,3.877210
May3t-apical,0.316244,1.563400,2.301690,2.811020,3.216600,3.562280,1.378080,3.612280,4.310460,4.783440,5.167390,5.500390
May3x-basal,0.030328,0.166253,0.370328,0.540346,0.681048,0.802242,0.363470,1.714670,2.196160,2.475650,2.681690,2.847900
May3x-apical,0.160764,0.955495,1.495760,1.891430,2.213740,2.490380,0.891011,2.683980,3.304490,3.725670,4.064300,4.356780
May3j-basal,0.155431,0.971242,1.444960,1.750240,1.978830,2.164160,1.145500,3.074700,3.553740,3.800250,3.969330,4.102880
May3j-apical,0.599990,2.416730,3.345740,4.008910,4.545990,5.006500,2.015890,4.537660,5.375520,5.976890,6.477730,6.918710
