Name,mBPAP
Aug3b-basal,40.990986
Aug3b-apical,23.041874
Aug3a-apical,17.365318
Aug3a-basal,30.039562
Aug3c-basal,38.671898
Aug3e-apical,11.591702
Aug3e-basal,32.252567
Aug3c-apical,15.063381
Aug3g-basal,41.670317
Aug3f-apical,15.973704
Aug3g-apical,17.990919
Aug3f-basal,37.978875
Feb27f-apical,19.999071
Feb27n-basal,32.850882
Feb27n-apical,16.418518
Dec15e-apical,18.304093
Dec15e-basal,32.848312
Jun7d-basal,23.981376
May31d-apical,19.869080
Jun7d-apical,12.590287
May31e-apical,8.370276
May31e-basal,19.731118
May3c-basal,26.119202
May3c-apical,10.767077
May3d-basal,27.466103
May3g-apical,7.634471
May3d-apical,9.145349
May3g-basal,18.835049
May3h-apical,12.520274
May3h-basal,31.081641
May3i-basal,32.551815
May3i-apical,11.081479
May3t-basal,22.299340
May3t-apical,10.925948
May3x-apical,16.809965
May3x-basal,33.628715
May3j-basal,17.021414
May3j-apical,8.269156
